lib_mrq,lib_mod_doss,lib_mod,dscom,cod_cbr,hybride,puiss_admin_98,puiss_max,conso_urb,conso_exurb,conso_mixte,co2,co_typ_1,nox,ptcl,masse_ordma_min,masse_ordma_max,champ_v9,Carrosserie,gamme,Mp,Ct,W (mm),At1 (mm),At2 (mm),ec (cm3),typ_boite,nb_rapp,category
ALFA-ROMEO,GIULIETTA,GIULIETTA,GIULIETTA 1.4 TB MultiAir (170ch) S/S,ES,non,9,125.0,7.800000191,4.599999905,5.800000191,134.0,0.275999993,0.028999999,,1365,1365,715/2007*195/2013EURO6,BERLINE,MOY-INFER,,M1,2634.0,1554.0,1554.0,1368.0,M,6,C
ALFA-ROMEO,GIULIETTA,GIULIETTA,GIULIETTA 1.4 TB MultiAir (170ch) S/S,ES,non,9,125.0,7.800000191,4.599999905,5.800000191,134.0,0.275999993,0.028999999,,1365,1365,715/2007*195/2013EURO6,BERLINE,MOY-INFER,FIAT GROUP AUTOMOBILES SPA,M1,2634.0,1554.0,1554.0,1368.0,M,6,C
ALFA-ROMEO,GIULIETTA,GIULIETTA,GIULIETTA 1.4 TB MultiAir TCT (170ch) S/S,ES,non,9,125.0,6.699999809,4.300000191,5.199999809,121.0,0.439999998,0.029999999,,1380,1380,715/2007*195/2013EURO6,BERLINE,MOY-INFER,FIAT GROUP AUTOMOBILES SPA,M1,2634.0,1554.0,1554.0,1368.0,D,6,C
ALFA-ROMEO,GIULIETTA,GIULIETTA,GIULIETTA 1.4 TB MultiAir TCT (170ch) S/S,ES,non,9,125.0,6.699999809,4.300000191,5.199999809,121.0,0.439999998,0.029999999,,1380,1380,715/2007*692/2008EURO5,BERLINE,MOY-INFER,FIAT GROUP AUTOMOBILES SPA,M1,2634.0,1554.0,1554.0,1368.0,D,6,C
ALFA-ROMEO,GIULIETTA,GIULIETTA,GIULIETTA 1.4 TB MultiAir TCT (170ch) S/S,ES,non,9,125.0,6.599999905,4.300000191,5.099999905,119.0,0.319000006,0.039000001,,1380,1380,715/2007*195/2013EURO6,BERLINE,MOY-INFER,FIAT GROUP AUTOMOBILES SPA,M1,2634.0,1554.0,1554.0,1368.0,D,6,B
ALFA-ROMEO,GIULIETTA,GIULIETTA,GIULIETTA 1.4 T-jet (120ch) S/S,ES,non,7,88.0,8.399999619,5.300000191,6.400000095,149.0,0.356000006,0.026000001,,1355,1355,715/2007*692/2008EURO5,BERLINE,MOY-INFER,,M1,2634.0,1554.0,1554.0,1368.0,M,6,D
ALFA-ROMEO,GIULIETTA,GIULIETTA,GIULIETTA 1.4 T-jet (120ch) S/S,ES,non,7,88.0,8.399999619,5.300000191,6.400000095,149.0,0.356000006,0.026000001,,1355,1355,715/2007*692/2008EURO5,BERLINE,MOY-INFER,FIAT GROUP AUTOMOBILES SPA,M1,2634.0,1554.0,1554.0,1368.0,M,6,D
ALFA-ROMEO,GIULIETTA,GIULIETTA,GIULIETTA 1.6 JTDm (105ch) S/S,GO,non,5,77.0,5.0,3.400000095,4.0,104.0,0.308999985,0.163000003,0.001,1385,1385,715/2007*195/2013EURO5,BERLINE,MOY-INFER,FIAT GROUP AUTOMOBILES SPA,M1,2634.0,1554.0,1554.0,1598.0,M,6,B
ALFA-ROMEO,GIULIETTA,GIULIETTA,GIULIETTA 1.6 JTDm (105ch) S/S,GO,non,5,77.0,5.5,3.700000048,4.400000095,114.0,0.215000004,0.172999993,0.001,1385,1385,715/2007*692/2008EURO5,BERLINE,MOY-INFER,,M1,2634.0,1554.0,1554.0,1598.0,M,6,B
ALFA-ROMEO,GIULIETTA,GIULIETTA,GIULIETTA 1.6 JTDm (105ch) S/S,GO,non,5,77.0,5.5,3.700000048,4.400000095,114.0,0.215000004,0.172999993,0.001,1385,1385,715/2007*692/2008EURO5,BERLINE,MOY-INFER,FIAT GROUP AUTOMOBILES SPA,M1,2634.0,1554.0,1554.0,1598.0,M,6,B
